MOLECULAR RL (2026 baseline)
================================================================================
lr                      : 0.0003
gamma                   : 0.99
gae_lambda              : 0.95
clip_epsilon            : 0.2
target_kl               : 0.02
entropy_coef_start      : 0.08
entropy_coef_end        : 0.01
value_coef              : 0.5
max_grad_norm           : 1.0
batch_size              : 256
ppo_epochs              : 10
buffer_size             : 2048
num_envs                : 8
updates                 : 800
hidden_dim              : 128
edge_dim                : 4
max_atoms               : 25
max_steps               : 40
min_atoms               : 5
curriculum_start        : 25
curriculum_end          : 300
log_every               : 5
save_every              : 50
eval_samples            : 256
project                 : molecular-rl-2026
run_name                : None
seed                    : 42
num_actions             : 122
input_feats             : 13
================================================================================
Update | R_mean   | R_std    | Valid%  | Unique%  | Div    | KL       | Clip   | ExpVar  | Ent    | Curr   | BestR   | BestSMILES
430    | 0.589    | 2.394    | 100.0   | 87.5     | 0.756  | 0.0067   | 0.008  | 0.995   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
435    | 0.610    | 2.432    | 100.0   | 87.5     | 0.848  | 0.0105   | 0.012  | 0.877   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
440    | 0.611    | 2.436    | 100.0   | 87.5     | 0.870  | 0.0084   | 0.027  | 0.884   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
445    | 0.576    | 2.346    | 100.0   | 75.0     | 0.818  | 0.0205   | 0.022  | 0.848   | 0.010  | 1.000  | 11.253  | NCCCC1C2CCN=C2C2N=CS21SBr
450    | 0.586    | 2.376    | 100.0   | 75.0     | 0.751  | 0.0389   | 0.047  | 0.930   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
455    | 0.562    | 2.323    | 100.0   | 87.5     | 0.708  | 0.0906   | 0.034  | 0.963   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
460    | 0.486    | 2.276    | 100.0   | 100.0    | 0.829  | 0.0379   | 0.089  | 0.228   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
465    | 0.599    | 2.318    | 100.0   | 75.0     | 0.807  | 0.0389   | 0.058  | 0.851   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
470    | 0.594    | 2.402    | 100.0   | 100.0    | 0.726  | 0.0258   | 0.012  | 0.888   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
475    | 0.576    | 2.364    | 100.0   | 75.0     | 0.704  | 0.0228   | 0.012  | 0.715   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
480    | 0.612    | 2.159    | 100.0   | 87.5     | 0.769  | 0.0004   | 0.000  | -0.376  | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
485    | 0.603    | 2.137    | 100.0   | 62.5     | 0.742  | 0.0110   | 0.004  | 0.007   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
490    | 0.601    | 2.417    | 100.0   | 75.0     | 0.726  | 0.0002   | 0.000  | 0.652   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
495    | 0.581    | 2.287    | 100.0   | 87.5     | 0.706  | 0.0178   | 0.026  | 0.433   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
500    | 0.611    | 2.440    | 100.0   | 62.5     | 0.722  | 0.0082   | 0.010  | 0.970   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
505    | 0.656    | 2.360    | 100.0   | 62.5     | 0.757  | 0.1695   | 0.095  | 0.503   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
510    | 0.610    | 2.376    | 100.0   | 75.0     | 0.790  | 0.0260   | 0.082  | 0.644   | 0.010  | 1.000  | 11.257  | NCCC1C2CCCN=C2C2N=CS21SBr
515    | 0.180    | 1.705    | 100.0   | 100.0    | 0.827  | 0.0901   | 0.133  | -0.066  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
520    | 0.589    | 2.395    | 100.0   | 87.5     | 0.734  | 0.0165   | 0.012  | 0.863   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
525    | 0.557    | 2.314    | 100.0   | 87.5     | 0.769  | 0.0726   | 0.068  | 0.937   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
530    | 0.606    | 2.429    | 100.0   | 87.5     | 0.854  | 0.0005   | 0.003  | 0.993   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
535    | 0.584    | 2.392    | 100.0   | 75.0     | 0.806  | 0.0325   | 0.033  | 0.301   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
540    | 0.409    | 2.159    | 100.0   | 87.5     | 0.869  | 0.0289   | 0.156  | -0.048  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
545    | 0.604    | 2.420    | 100.0   | 87.5     | 0.863  | 0.0127   | 0.030  | 0.892   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
550    | 0.600    | 2.414    | 100.0   | 87.5     | 0.850  | 0.0132   | 0.011  | 0.948   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
555    | 0.563    | 2.327    | 100.0   | 100.0    | 0.856  | 0.0404   | 0.053  | 0.931   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
560    | 0.587    | 2.299    | 100.0   | 75.0     | 0.800  | 0.0235   | 0.020  | 0.722   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
565    | 0.571    | 2.351    | 100.0   | 100.0    | 0.705  | 0.0255   | 0.047  | 0.948   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
570    | 0.601    | 2.418    | 100.0   | 87.5     | 0.805  | 0.0047   | 0.006  | 0.900   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
575    | 0.069    | 1.541    | 100.0   | 100.0    | 0.870  | 0.0809   | 0.081  | -0.026  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
580    | 0.653    | 2.293    | 100.0   | 100.0    | 0.875  | 0.1137   | 0.060  | 0.705   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
585    | 0.618    | 2.383    | 100.0   | 87.5     | 0.834  | 0.0244   | 0.078  | 0.469   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
590    | 0.645    | 2.453    | 100.0   | 100.0    | 0.860  | 0.0185   | 0.006  | 0.974   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
595    | 0.374    | 1.820    | 100.0   | 100.0    | 0.828  | 0.0276   | 0.081  | 0.171   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
600    | 0.610    | 2.225    | 100.0   | 75.0     | 0.742  | 0.0145   | 0.005  | 0.161   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
605    | -0.100   | 0.644    | 100.0   | 87.5     | 0.494  | 0.0193   | 0.104  | 0.114   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
610    | 0.581    | 2.178    | 100.0   | 62.5     | 0.609  | 0.0216   | 0.070  | 0.081   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
615    | 0.640    | 2.241    | 100.0   | 62.5     | 0.728  | 0.0344   | 0.085  | 0.107   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
620    | 0.563    | 2.200    | 100.0   | 87.5     | 0.859  | 0.0159   | 0.035  | 0.661   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
625    | 0.508    | 1.819    | 100.0   | 100.0    | 0.866  | 0.0278   | 0.053  | -1.121  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
630    | 0.562    | 2.127    | 100.0   | 100.0    | 0.907  | 0.0290   | 0.081  | 0.156   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
635    | 0.573    | 2.226    | 100.0   | 87.5     | 0.668  | 0.0254   | 0.062  | 0.777   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
640    | 0.589    | 2.253    | 100.0   | 100.0    | 0.904  | 0.0259   | 0.086  | 0.607   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
645    | 0.594    | 2.273    | 100.0   | 62.5     | 0.760  | 0.0056   | 0.007  | 0.995   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
650    | 0.437    | 1.790    | 100.0   | 100.0    | 0.865  | 0.0159   | 0.087  | 0.338   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
655    | 0.363    | 1.779    | 100.0   | 87.5     | 0.788  | 0.0176   | 0.059  | 0.335   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
660    | 0.609    | 2.229    | 100.0   | 87.5     | 0.744  | 0.0320   | 0.059  | 0.143   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
665    | 0.588    | 2.261    | 100.0   | 75.0     | 0.810  | 0.0025   | 0.002  | 0.952   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
670    | 0.602    | 2.275    | 100.0   | 62.5     | 0.727  | 0.0133   | 0.011  | 0.673   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
675    | 0.567    | 2.214    | 100.0   | 100.0    | 0.830  | 0.0450   | 0.043  | 0.838   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
680    | 0.642    | 2.147    | 100.0   | 100.0    | 0.923  | 0.0220   | 0.046  | -0.556  | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
685    | 0.632    | 2.151    | 100.0   | 87.5     | 0.884  | 0.0886   | 0.023  | 0.454   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
690    | 0.606    | 2.121    | 100.0   | 87.5     | 0.800  | 0.0204   | 0.097  | 0.021   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
695    | 0.603    | 2.119    | 100.0   | 87.5     | 0.810  | 0.0498   | 0.049  | 0.897   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
700    | 0.610    | 2.130    | 100.0   | 87.5     | 0.854  | 0.0498   | 0.030  | 0.859   | 0.010  | 1.000  | 11.348  | BrSS12C=NC1C1=NCCC12CCc1n[nH][nH]1
